Query_ID	Hit_ID	Query_to_Hit_Identity	Query_to_Hit_E-value	Hit_to_Query_Identity	Hit_to_Query_E-value
NC_000913.2|:506427-506509(+)	NC_016810.1|:555449-555566(+)	89.231	5.78e-19	89.231	1.37e-18
NC_000913.2|:3054004-3054187(+)	NC_016810.1|:3242593-3243000(+)	98.361	2.11e-91	98.361	7.75e-91
NC_000913.2|:887199-887280(-)	NC_016810.1|:941814-941893(-)	98.734	2.58e-37	98.734	4.03e-37
NC_000913.2|:2311105-2311198(+)	NC_016810.1|:2364628-2364721(+)	97.849	2.33e-43	97.849	3.75e-43
NC_000913.2|:2812823-2812895(+)	NC_016810.1|:2989428-2989502(+)	91.892	3.8e-25	91.892	6.31e-25
NC_000913.2|:2922177-2922537(-)	NC_016810.1|:3138159-3138522(-)	86.872	2.49e-113	86.872	3.99e-113
NC_000913.2|:4049058-4049303(+)	NC_016810.1|:4231594-4231838(+)	88.43	8.15e-82	88.43	1.28e-81
NC_000913.2|:4047921-4048030(+)	NC_016810.1|:4230503-4230613(+)	98.182	3.56e-52	98.182	5.66e-52
NC_000913.2|:3348598-3348706(+)	NC_016810.1|:3511799-3511917(+)	88.462	4.69e-31	88.462	8.15e-31
NC_000913.2|:1921089-1921338(+)	NC_016810.1|:1925542-1925853(+)	97.26	5.06e-69	97.26	1.01e-68
NC_000913.2|:2165137-2165224(+)	NC_016810.1|:2228846-2228932(+)	94.253	1.69e-34	94.253	2.68e-34
NC_000913.2|:1145811-1145980(+)	NC_016810.1|:1231269-1231378(+)	93.421	1.27e-28	93.421	1.25e-28
NC_000913.2|:1762736-1762804(-)	NC_016810.1|:1407277-1407371(+)	96.226	2.75e-21	96.226	6.36e-21
NC_000913.2|:3984454-3984626(+)	NC_016810.1|:4163191-4163399(+)	93.103	7.32e-71	93.103	1.41e-70
NC_000913.2|:2023250-2023337(-)	NC_016810.1|:2026215-2026302(-)	90.588	7.91e-28	90.588	1.27e-27
NC_000913.2|:2689178-2689362(-)	NC_016810.1|:2705380-2705564(-)	92.391	1.31e-73	92.391	2.09e-73
NC_000913.2|:3236395-3236583(+)	NC_016810.1|:3412773-3412961(+)	88.889	1.36e-63	88.889	2.17e-63
NC_000913.2|:685903-686066(-)	NC_016810.1|:728171-728324(-)	88.182	1.57e-32	88.182	2.34e-32
NC_000913.2|:2974123-2974211(-)	NC_016810.1|:3191583-3191670(-)	98.864	1.02e-41	98.864	1.61e-41
NC_000913.2|:1768395-1768500(+)	NC_016810.1|:1401681-1401790(-)	97.143	2.66e-48	97.143	4.36e-48
NC_000913.2|:75515-75608(-)	NC_016810.1|:126712-126802(-)	93.023	8.49e-33	93.023	1.31e-32
NC_000913.2|:4275949-4276089(-)	NC_016810.1|:4526161-4526302(-)	92.958	6.05e-56	92.958	9.61e-56
NC_000913.2|:2151332-2151475(+)	NC_016810.1|:2211622-2211760(+)	85.915	3.75e-38	85.915	5.77e-38
NC_000913.2|:2940717-2940922(+)	NC_016810.1|:3156778-3156979(+)	95.025	1.11e-89	95.025	1.74e-89
NC_000913.2|:2651876-2652180(+)	NC_016810.1|:2672650-2672944(+)	84.324	6.43e-49	84.324	9.76e-49
NC_000913.2|:3578949-3579039(-)	NC_016810.1|:3736721-3736817(-)	90.278	8.29e-23	90.278	1.4e-22
NC_000913.2|:4156307-4156417(-)	NC_016810.1|:4364304-4364423(-)	83.929	1.73e-25	83.929	2.98e-25
NC_000913.2|:1202931-1203047(-)	NC_016810.1|:2071270-2071409(+)	97.436	6.72e-15	97.436	1.29e-14
NC_000913.2|:2276438-2276488(-)	NC_016810.1|:2319955-2320037(-)	100.0	4.12e-23	100.0	1.2e-22
NC_000913.2|:1407149-1407271(+)	NC_016810.1|:1706783-1706905(-)	98.319	1.12e-57	98.319	1.76e-57
